fecha,precio,pct_ocupacion
2025-03-20,110,77.42
2025-03-21,140,97.58
2025-03-22,130,97.58
2025-03-23,110,87.1
2025-03-24,120,82.26
2025-03-25,220,100.0
2025-03-26,130,75.81
2025-03-27,200,100.0
2025-03-28,160,99.19
2025-03-29,160,96.77
2025-03-30,100,79.84
2025-03-31,110,84.68
2025-04-01,180,100.0
2025-04-02,160,98.39
2025-04-03,150,100.0
2025-04-04,190,100.0
2025-04-05,230,100.0
2025-04-06,120,86.29
2025-04-07,180,92.74
2025-04-08,150,93.55
2025-04-09,180,99.19
2025-04-10,150,95.97
2025-04-11,130,79.84
2025-04-12,150,99.19
2025-04-13,130,84.68
2025-04-14,130,88.71
2025-04-15,130,91.13
2025-04-16,130,95.16
2025-04-17,160,97.58
2025-04-18,300,100.0
2025-04-19,230,100.0
2025-04-20,140,88.71
2025-04-21,120,91.13
2025-04-22,160,88.71
2025-04-23,300,99.19
2025-04-24,400,100.0
2025-04-25,220,95.16
2025-04-26,230,94.35
2025-04-27,140,86.29
2025-04-28,160,92.74
2025-04-29,160,95.16
2025-04-30,170,92.74
2025-05-01,200,94.35
2025-05-02,300,100.0
2025-05-03,190,95.97
2025-05-04,140,74.19
2025-05-05,200,86.29
2025-05-06,240,87.9
2025-05-07,180,94.35
2025-05-08,200,98.39
2025-05-09,190,90.32
2025-05-10,290,96.77
2025-05-11,200,95.97
2025-05-12,200,100.0
2025-05-13,160,94.35
2025-05-14,140,88.71
2025-05-15,140,84.68
2025-05-16,160,91.94
2025-05-17,180,91.13
2025-05-18,120,83.06
2025-05-19,220,91.13
2025-05-20,210,92.74
2025-05-21,210,95.97
2025-05-22,150,87.1
2025-05-23,170,87.9
2025-05-24,180,91.94
2025-05-25,130,70.97
2025-05-26,220,100.0
2025-05-27,200,98.39
2025-05-28,200,98.39
2025-05-29,350,99.19
2025-05-30,500,100.0
2025-05-31,270,100.0
2025-06-01,330,99.19
2025-06-02,250,94.35
2025-06-03,190,95.16
2025-06-04,230,99.19
2025-06-05,300,99.19
2025-06-06,210,84.68
2025-06-07,270,95.97
2025-06-08,200,98.39
2025-06-09,200,96.77
2025-06-10,230,98.39
2025-06-11,500,100.0
2025-06-12,400,100.0
2025-06-13,400,100.0
2025-06-14,210,91.13
2025-06-15,130,87.9
2025-06-16,320,100.0
2025-06-17,170,91.13
2025-06-18,250,100.0
2025-06-19,160,95.97
2025-06-20,160,90.32
2025-06-21,140,91.13
2025-06-22,130,71.77
2025-06-23,110,76.61
2025-06-24,110,85.48
2025-06-25,140,95.16
2025-06-26,150,95.97
2025-06-27,160,98.39
2025-06-28,140,100.0
2025-06-29,90,91.94
2025-06-30,250,100.0
2025-07-01,200,96.77
2025-07-02,140,96.77
2025-07-03,300,100.0
2025-07-04,220,99.19
2025-07-05,160,98.39
2025-07-06,130,95.97
2025-07-07,160,100.0
2025-07-08,180,100.0
2025-07-09,300,100.0
2025-07-10,200,95.16
2025-07-11,180,96.77
2025-07-12,200,100.0
2025-07-13,150,93.55
2025-07-14,140,95.16
2025-07-15,150,95.16
2025-07-16,150,95.16
2025-07-17,180,100.0
2025-07-18,170,100.0
2025-07-19,200,100.0
2025-07-20,130,91.13
2025-07-21,200,100.0
2025-07-22,140,93.55
2025-07-23,170,100.0
2025-07-24,140,94.35
2025-07-25,180,100.0
2025-07-26,150,95.16
2025-07-27,110,80.65
2025-07-28,140,92.74
2025-07-29,150,89.52
2025-07-30,140,91.13
2025-07-31,130,86.29
2025-08-01,150,83.87
2025-08-02,150,91.13
2025-08-03,120,83.06
2025-08-04,150,89.52
2025-08-05,150,94.35
2025-08-06,140,92.74
2025-08-07,160,100.0
2025-08-08,400,100.0
2025-08-09,450,100.0
2025-08-10,140,97.58
2025-08-11,180,100.0
2025-08-12,160,98.39
2025-08-13,150,95.16
2025-08-14,180,99.19
2025-08-15,210,100.0
2025-08-16,180,100.0
2025-08-17,130,85.48
2025-08-18,140,97.58
2025-08-19,140,87.9
2025-08-20,140,96.77
2025-08-21,150,98.39
2025-08-22,200,100.0
2025-08-23,170,97.58
2025-08-24,110,92.74
2025-08-25,140,92.74
2025-08-26,140,93.55
2025-08-27,140,96.77
2025-08-28,150,98.39
2025-08-29,130,90.32
2025-08-30,150,96.77
2025-08-31,100,97.58
2025-09-01,120,95.97
2025-09-02,120,91.94
2025-09-03,140,91.94
2025-09-04,130,90.32
2025-09-05,160,91.94
2025-09-06,170,91.94
2025-09-07,110,71.77
2025-09-08,160,88.71
2025-09-09,150,69.35
2025-09-10,120,66.13
2025-09-11,130,87.9
2025-09-12,200,94.35
2025-09-13,210,95.97
2025-09-14,120,79.84
2025-09-15,190,91.94
2025-09-16,280,100.0
2025-09-17,300,100.0
2025-09-18,200,93.55
2025-09-19,200,100.0
2025-09-20,155,95.97
2025-09-21,120,100.0
2025-09-22,170,100.0
2025-09-23,200,100.0
2025-09-24,200,94.35
2025-09-25,280,100.0
2025-09-26,200,89.52
2025-09-27,220,97.58
2025-09-28,140,89.52
2025-09-29,170,91.94
2025-09-30,270,100.0
2025-10-01,330,100.0
2025-10-02,200,95.97
2025-10-03,260,100.0
2025-10-04,270,100.0
2025-10-05,140,79.84
2025-10-06,260,100.0
2025-10-07,280,100.0
2025-10-08,230,98.39
2025-10-09,240,100.0
2025-10-10,180,96.77
2025-10-11,200,100.0
2025-10-12,150,89.52
2025-10-13,280,100.0
2025-10-14,160,89.52
2025-10-15,190,100.0
2025-10-16,200,96.77
2025-10-17,180,89.52
2025-10-18,180,81.45
2025-10-19,150,93.55
2025-10-20,220,92.74
2025-10-21,300,100.0
2025-10-22,220,96.77
2025-10-23,230,95.16
2025-10-24,190,91.13
2025-10-25,190,84.68
2025-10-26,140,76.61
2025-10-27,140,95.97
2025-10-28,170,95.16
2025-10-29,150,100.0
2025-10-30,160,97.58
2025-10-31,140,78.23
2025-11-01,150,91.13
2025-11-02,110,76.61
2025-11-03,140,88.71
2025-11-04,160,91.94
2025-11-05,210,97.58
2025-11-06,150,91.13
2025-11-07,180,96.77
2025-11-08,260,100.0
2025-11-09,130,87.1
2025-11-10,130,88.71
2025-11-11,160,95.16
2025-11-12,150,87.9
2025-11-13,230,100.0
2025-11-14,160,94.35
2025-11-15,140,83.87
2025-11-16,110,77.42
2025-11-17,160,95.97
2025-11-18,280,100.0
2025-11-19,260,100.0
2025-11-20,130,69.35
2025-11-21,120,100.0
2025-11-22,170,94.35
2025-11-23,90,54.03
2025-11-24,110,78.23
2025-11-25,160,100.0
2025-11-26,160,93.55
2025-11-27,110,84.68
2025-11-28,140,94.35
2025-11-29,120,87.1
2025-11-30,90,33.06
2025-12-01,100,70.16
2025-12-02,200,98.39
2025-12-03,200,94.35
2025-12-04,120,88.71
2025-12-05,100,79.03
2025-12-06,150,98.39
2025-12-07,90,75.0
2025-12-08,90,61.29
2025-12-09,90,50.81
2025-12-10,90,62.9
2025-12-11,90,75.0
2025-12-12,100,73.39
2025-12-13,110,64.52
2025-12-14,80,37.9
2025-12-15,90,49.19
2025-12-16,90,47.58
2025-12-17,110,68.55
2025-12-18,125,69.35
2025-12-19,100,35.48
2025-12-20,90,46.77
2025-12-21,80,41.94
2025-12-22,100,60.48
2025-12-23,115,56.45
2025-12-24,115,67.74
2025-12-25,115,62.9
2025-12-26,110,66.13
2025-12-27,130,89.52
2025-12-28,110,77.42
2025-12-29,130,89.52
2025-12-30,130,84.68
2025-12-31,180,99.19
