producto,id_booking,estado,fecha_inicio,fecha_fin,fecha_creacion,cliente
Habs y Salas,14203,CONFIRMACIÓN,2025-03-28,2025-04-16,2024-10-09,GENERICO GENERICO
Salas,14315,Rechazado,2025-03-15,2025-03-15,2024-10-14,GENERICO GENERICO
Salas,14326,Perdido,2025-05-09,2025-05-09,2024-10-14,GENERICO GENERICO
Habs y Salas,14327,Perdido,2025-01-27,2025-01-30,2024-10-14,GENERICO GENERICO
Habs y Salas,14386,Perdido,2025-03-30,2025-04-03,2024-10-14,GENERICO GENERICO
Habs y Salas,14387,Perdido,2025-03-19,2025-03-22,2024-10-14,GENERICO GENERICO
Habs y Salas,14537,Rechazado,2025-05-30,2025-06-03,2024-10-17,GENERICO GENERICO
Habs y Salas,14539,Perdido,2025-03-24,2025-03-26,2024-10-18,"GENERICO, AGENCIAS"
Salas,14793,Perdido,2025-07-05,2025-07-05,2024-10-23,GENERICO GENERICO
Salas,14794,Perdido,2025-02-04,2025-02-04,2024-10-23,GENERICO GENERICO
Habs y Salas,14801,Perdido,2025-07-09,2025-07-11,2024-10-23,GENERICO GENERICO
Habs y Salas,14814,CONFIRMACIÓN,2025-02-01,2025-02-12,2024-10-23,GENERICO GENERICO
Salas,15068,Perdido,2025-06-07,2025-06-07,2024-10-29,GENERICO GENERICO
Habs y Salas,15077,CONFIRMACIÓN,2025-06-15,2025-06-27,2024-10-30,cliente_009
Habs y Salas,15088,CONFIRMACIÓN,2025-02-02,2025-02-05,2024-10-29,GENERICO GENERICO
Salas,15122,CONFIRMACIÓN,2025-03-06,2025-03-09,2024-10-30,GENERICO GENERICO
Habs y Salas,15221,Cancelado,2025-03-25,2025-03-27,2024-10-31,"GENERICO, AGENCIAS"
Salas,15238,Perdido,2025-02-07,2025-02-09,2024-11-04,GENERICO GENERICO
Salas,15262,Perdido,2025-02-01,2025-02-01,2024-11-05,GENERICO GENERICO
Habs y Salas,15269,Perdido,2025-09-25,2025-09-28,2024-11-05,"GENERICO, AGENCIAS"
Habs y Salas,15344,Cancelado,2025-06-23,2025-06-26,2024-11-05,"GENERICO, AGENCIAS"
Habs y Salas,15388,Rechazado,2025-03-25,2025-03-28,2024-11-06,GENERICO GENERICO
Habs y Salas,15482,CONFIRMACIÓN,2025-03-13,2025-04-09,2024-11-08,cliente_010
Habs y Salas,15500,CONFIRMACIÓN,2025-03-06,2025-03-10,2024-11-11,cliente_011
Habs y Salas,15524,Rechazado,2025-02-24,2025-03-02,2024-11-09,GENERICO GENERICO
Habs y Salas,15541,Perdido,2025-03-07,2025-03-10,2024-11-11,GENERICO GENERICO
Salas,15613,Perdido,2025-05-10,2025-05-10,2024-11-12,GENERICO GENERICO
Habs y Salas,15618,Perdido,2025-06-23,2025-06-27,2024-11-12,GENERICO GENERICO
Habs y Salas,15666,CONFIRMACIÓN,2025-03-24,2025-03-27,2024-11-13,GENERICO GENERICO
Habs y Salas,15721,CONFIRMACIÓN,2025-04-08,2025-04-16,2024-11-14,GENERICO GENERICO
Salas,15722,CONFIRMACIÓN,2025-11-07,2025-11-09,2024-11-14,cliente_012
Habs y Salas,15737,CONFIRMACIÓN,2025-03-16,2025-04-07,2024-11-14,cliente_013
Habs y Salas,15853,Rechazado,2025-04-03,2025-04-04,2024-11-18,GENERICO GENERICO
Habs y Salas,15876,Rechazado,2025-01-29,2025-01-31,2024-11-18,GENERICO GENERICO
Habs y Salas,15959,Perdido,2025-01-29,2025-01-31,2024-11-20,GENERICO GENERICO
Salas,15981,Perdido,2025-02-19,2025-02-19,2024-11-20,GENERICO GENERICO
Habs y Salas,16167,Perdido,2025-03-11,2025-03-13,2024-11-25,GENERICO GENERICO
Habs y Salas,16181,Perdido,2025-01-22,2025-01-24,2024-11-25,GENERICO GENERICO
Habs y Salas,16227,Perdido,2025-01-22,2025-01-24,2024-11-26,GENERICO GENERICO
Habs y Salas,16228,Perdido,2025-01-27,2025-01-30,2024-11-26,GENERICO GENERICO
Habs y Salas,16312,Perdido,2025-06-09,2025-06-14,2024-11-27,GENERICO GENERICO
Habs y Salas,16313,Perdido,2025-06-12,2025-06-14,2024-11-27,GENERICO GENERICO
Salas,16314,CONFIRMACIÓN,2025-03-10,2025-03-20,2024-11-27,GENERICO GENERICO
Habs y Salas,16350,Perdido,2025-01-28,2025-01-30,2024-11-28,"GENERICO, AGENCIAS"
Habs y Salas,16414,CONFIRMACIÓN,2025-04-04,2025-04-06,2024-11-29,cliente_014
Habs y Salas,16425,Rechazado,2025-05-04,2025-05-09,2024-11-29,GENERICO GENERICO
Habs y Salas,16434,CONFIRMACIÓN,2025-01-06,2025-01-09,2024-11-29,cliente_015
Salas,16568,Cancelado,2025-02-15,2025-02-15,2024-12-03,GENERICO GENERICO
Habs y Salas,16717,Perdido,2025-02-19,2025-02-20,2024-12-05,GENERICO GENERICO
Habs y Salas,16732,CONFIRMACIÓN,2025-05-20,2025-05-27,2024-12-05,cliente_016
Salas,16755,Perdido,2025-02-26,2025-02-27,2024-12-05,GENERICO GENERICO
Habs y Salas,16836,Cancelado,2025-01-20,2025-01-23,2024-12-09,"GENERICO, EMPRESAS"
Habs y Salas,16949,Rechazado,2025-03-27,2025-03-30,2024-12-11,"GENERICO, AGENCIAS"
Habs y Salas,16969,Cancelado,2025-01-19,2025-01-23,2024-12-11,"GENERICO, AGENCIAS"
Habs y Salas,17022,Cancelado,2025-10-06,2025-10-10,2024-12-12,"GENERICO, AGENCIAS"
Habs y Salas,17024,CONFIRMACIÓN,2025-01-20,2025-01-24,2024-12-12,cliente_017
Habs y Salas,17026,Perdido,2025-02-11,2025-02-14,2024-12-12,GENERICO GENERICO
Habs y Salas,17081,Perdido,2025-05-11,2025-05-15,2024-12-13,GENERICO GENERICO
Habs y Salas,17217,Perdido,2025-04-24,2025-04-27,2024-12-18,"GENERICO, AGENCIAS"
Salas,17286,Perdido,2025-01-09,2025-01-09,2024-12-18,GENERICO GENERICO
Habs y Salas,17327,Perdido,2025-06-11,2025-06-13,2024-12-19,GENERICO GENERICO
Salas,17426,CONFIRMACIÓN,2025-01-07,2025-01-07,2024-12-23,cliente_018
Salas,17428,CONFIRMACIÓN,2025-01-07,2025-01-07,2024-12-23,cliente_018
Salas,17429,CONFIRMACIÓN,2025-01-08,2025-01-08,2024-12-23,cliente_018
Salas,17471,Perdido,2025-01-23,2025-01-23,2024-12-25,GENERICO GENERICO
Salas,17529,CONFIRMACIÓN,2025-01-28,2025-01-29,2025-01-02,cliente_019
Salas,17568,Perdido,2025-09-27,2025-09-27,2025-01-07,GENERICO GENERICO
Habs y Salas,17581,Perdido,2025-09-04,2025-09-07,2025-01-02,GENERICO GENERICO
Habs y Salas,17613,Perdido,2025-06-23,2025-06-30,2025-01-07,GENERICO GENERICO
Habs y Salas,17697,Perdido,2025-01-28,2025-01-30,2025-01-08,"GENERICO, EMPRESAS"
Habs y Salas,17718,Perdido,2025-10-30,2025-11-02,2025-01-08,"GENERICO, AGENCIAS"
Habs y Salas,17725,Perdido,2025-09-01,2025-09-04,2025-01-08,"GENERICO, AGENCIAS"
Salas,17735,CONFIRMACIÓN,2025-04-05,2025-04-07,2025-01-08,cliente_020
Salas,17737,CONFIRMACIÓN,2025-01-29,2025-01-29,2025-01-09,cliente_021
Habs y Salas,17879,CONFIRMACIÓN,2025-06-04,2025-06-09,2025-01-10,cliente_022
Salas,17888,Perdido,2025-04-10,2025-04-15,2025-01-13,GENERICO GENERICO
Habs y Salas,17889,Perdido,2025-04-15,2025-04-20,2025-01-13,GENERICO GENERICO
Habs y Salas,17890,Perdido,2025-05-09,2025-05-12,2025-01-13,GENERICO GENERICO
Habs y Salas,17901,Perdido,2025-02-14,2025-02-18,2025-01-10,"GENERICO, AGENCIAS"
Habs y Salas,17932,Perdido,2025-05-16,2025-05-18,2025-01-13,GENERICO GENERICO
Salas,17933,CONFIRMACIÓN,2025-01-20,2025-01-22,2025-01-13,cliente_023
Salas,17946,CONFIRMACIÓN,2025-01-21,2025-01-21,2025-01-13,cliente_018
Salas,17954,CONFIRMACIÓN,2025-02-03,2025-02-04,2025-01-13,cliente_024
Salas,18000,CONFIRMACIÓN,2025-01-21,2025-01-21,2025-01-14,cliente_018
Salas,18001,CONFIRMACIÓN,2025-01-22,2025-01-22,2025-01-14,cliente_018
Salas,18002,CONFIRMACIÓN,2025-01-22,2025-01-22,2025-01-14,cliente_018
Salas,18003,CONFIRMACIÓN,2025-01-23,2025-01-23,2025-01-14,cliente_018
Salas,18004,CONFIRMACIÓN,2025-01-23,2025-01-23,2025-01-14,cliente_018
Salas,18005,Perdido,2025-03-03,2025-03-03,2025-01-14,GENERICO GENERICO
Salas,18007,Perdido,2025-01-23,2025-01-23,2025-01-14,GENERICO GENERICO
Salas,18038,Perdido,2025-02-28,2025-03-01,2025-01-15,GENERICO GENERICO
Salas,18088,Perdido,2025-02-18,2025-02-18,2025-01-15,GENERICO GENERICO
Habs y Salas,18114,Perdido,2025-05-09,2025-05-12,2025-01-15,GENERICO GENERICO
Habs y Salas,18149,Perdido,2025-04-23,2025-04-25,2025-01-17,GENERICO GENERICO
Salas,18163,Perdido,2025-04-05,2025-04-05,2025-01-16,GENERICO GENERICO
Habs y Salas,18201,CONFIRMACIÓN,2025-02-17,2025-02-27,2025-01-17,GENERICO GENERICO
Salas,18204,Perdido,2025-04-07,2025-04-07,2025-01-17,GENERICO GENERICO
Habs y Salas,18205,CONFIRMACIÓN,2025-02-11,2025-02-16,2025-01-17,GENERICO GENERICO
Habs y Salas,18220,Perdido,2025-04-22,2025-04-25,2025-01-17,"GENERICO, AGENCIAS"
Salas,18350,CONFIRMACIÓN,2025-02-04,2025-02-13,2025-01-22,cliente_024
Habs y Salas,18360,CONFIRMACIÓN,2025-04-08,2025-04-25,2025-01-21,cliente_025
Habs y Salas,18406,Perdido,2025-04-25,2025-04-28,2025-01-22,GENERICO GENERICO
Salas,18408,CONFIRMACIÓN,2025-06-14,2025-06-14,2025-01-22,cliente_026
Habs y Salas,18409,Perdido,2025-04-24,2025-04-28,2025-01-22,GENERICO GENERICO
Habs y Salas,18410,Rechazado,2025-03-28,2025-03-31,2025-01-22,GENERICO GENERICO
Salas,18434,Perdido,2025-04-24,2025-04-24,2025-01-22,GENERICO GENERICO
Salas,18435,Cancelado,2025-11-22,2025-11-22,2025-01-22,cliente_026
Salas,18436,Cancelado,2025-11-30,2025-11-30,2025-01-22,cliente_026
Salas,18437,CONFIRMACIÓN,2025-02-05,2025-02-05,2025-01-22,GENERICO GENERICO
Salas,18438,Perdido,2025-02-17,2025-02-17,2025-01-22,GENERICO GENERICO
Salas,18439,CONFIRMACIÓN,2025-01-28,2025-01-28,2025-01-22,cliente_018
Salas,18440,CONFIRMACIÓN,2025-01-28,2025-02-04,2025-01-22,cliente_018
Salas,18451,CONFIRMACIÓN,2025-01-29,2025-01-29,2025-01-22,cliente_018
Habs y Salas,18456,CONFIRMACIÓN,2025-10-01,2025-10-07,2025-01-23,cliente_027
Salas,18458,CONFIRMACIÓN,2025-04-03,2025-04-03,2025-01-23,cliente_023
Salas,18501,Perdido,2025-01-24,2025-01-24,2025-01-23,GENERICO GENERICO
Habs y Salas,18503,CONFIRMACIÓN,2025-02-25,2025-03-20,2025-01-23,GENERICO GENERICO
Salas,18540,Perdido,2025-01-27,2025-01-27,2025-01-24,GENERICO GENERICO
Habs y Salas,18637,Perdido,2025-04-06,2025-04-11,2025-01-27,GENERICO GENERICO
Habs y Salas,18639,Rechazado,2025-05-13,2025-05-15,2025-01-27,"GENERICO, AGENCIAS"
Habs y Salas,18665,CONFIRMACIÓN,2025-03-13,2025-05-16,2025-01-27,cliente_028
Salas,18690,Perdido,2025-03-05,2025-06-05,2025-01-27,GENERICO GENERICO
Salas,18695,CONFIRMACIÓN,2025-02-04,2025-02-04,2025-01-28,cliente_018
Salas,18696,CONFIRMACIÓN,2025-02-04,2025-02-04,2025-01-28,cliente_018
Salas,18697,CONFIRMACIÓN,2025-02-05,2025-02-05,2025-01-28,cliente_018
Salas,18698,CONFIRMACIÓN,2025-02-05,2025-02-05,2025-01-28,cliente_018
Salas,18699,CONFIRMACIÓN,2025-02-06,2025-02-06,2025-01-28,cliente_018
Habs y Salas,18700,CONFIRMACIÓN,2025-04-07,2025-04-11,2025-01-28,GENERICO GENERICO
Salas,18714,Perdido,2025-04-09,2025-04-09,2025-01-28,GENERICO GENERICO
Habs y Salas,18716,Perdido,2025-06-27,2025-06-28,2025-01-28,GENERICO GENERICO
Salas,18753,Rechazado,2025-02-27,2025-02-27,2025-01-28,GENERICO GENERICO
Salas,18785,Perdido,2025-05-27,2025-05-29,2025-01-28,GENERICO GENERICO
Habs y Salas,18823,Perdido,2025-05-13,2025-05-18,2025-01-29,GENERICO GENERICO
Habs y Salas,18825,CONFIRMACIÓN,2025-02-25,2025-02-28,2025-01-29,cliente_029
Habs y Salas,18860,Perdido,2025-10-23,2025-10-26,2025-01-29,GENERICO GENERICO
Salas,18864,Perdido,2025-02-13,2025-02-13,2025-01-29,GENERICO GENERICO
Habs y Salas,18964,Perdido,2025-06-13,2025-06-15,2025-01-30,"GENERICO, AGENCIAS"
Habs y Salas,18997,Perdido,2025-06-26,2025-06-27,2025-01-31,GENERICO GENERICO
Salas,19037,CONFIRMACIÓN,2025-02-11,2025-02-11,2025-02-03,cliente_018
Salas,19038,CONFIRMACIÓN,2025-02-11,2025-02-11,2025-02-03,cliente_018
Salas,19040,CONFIRMACIÓN,2025-02-12,2025-02-12,2025-02-03,cliente_018
Salas,19093,CONFIRMACIÓN,2025-03-27,2025-03-31,2025-02-02,cliente_030
Habs y Salas,19094,Perdido,2025-03-19,2025-03-20,2025-02-02,GENERICO GENERICO
Salas,19101,CONFIRMACIÓN,2025-02-13,2025-02-13,2025-02-03,cliente_018
Salas,19119,CONFIRMACIÓN,2025-02-15,2025-02-15,2025-02-03,GENERICO GENERICO
Salas,19167,Perdido,2025-03-27,2025-03-27,2025-02-04,GENERICO GENERICO
Habs y Salas,19195,Rechazado,2025-09-18,2025-09-20,2025-02-04,"GENERICO, AGENCIAS"
Habs y Salas,19196,Rechazado,2025-09-11,2025-09-13,2025-02-04,"GENERICO, AGENCIAS"
Habs y Salas,19203,Cancelado,2025-09-01,2025-09-09,2025-02-04,GENERICO GENERICO
Salas,19252,Perdido,2025-05-10,2025-05-10,2025-02-05,GENERICO GENERICO
Salas,19253,Perdido,2025-04-04,2025-04-04,2025-02-05,GENERICO GENERICO
Salas,19273,Perdido,2025-11-20,2025-11-20,2025-02-05,GENERICO GENERICO
Habs y Salas,19276,CONFIRMACIÓN,2025-05-11,2025-05-13,2025-02-05,cliente_031
Salas,19351,Perdido,2025-06-27,2025-06-27,2025-02-06,GENERICO GENERICO
Salas,19492,Perdido,2025-04-03,2025-04-03,2025-02-10,GENERICO GENERICO
Habs y Salas,19493,Perdido,2025-05-15,2025-05-17,2025-02-10,GENERICO GENERICO
Habs y Salas,19506,Perdido,2025-06-25,2025-06-28,2025-02-11,GENERICO GENERICO
Salas,19553,Perdido,2025-06-20,2025-06-20,2025-02-12,GENERICO GENERICO
Salas,19556,Perdido,2025-03-26,2025-03-26,2025-02-12,GENERICO GENERICO
Salas,19597,CONFIRMACIÓN,2025-02-18,2025-02-18,2025-02-13,cliente_018
Salas,19598,CONFIRMACIÓN,2025-02-18,2025-02-25,2025-02-13,cliente_018
Salas,19600,CONFIRMACIÓN,2025-02-19,2025-02-19,2025-02-13,cliente_018
Salas,19622,Perdido,2025-12-19,2025-12-19,2025-02-13,GENERICO GENERICO
Habs y Salas,19633,Perdido,2025-11-12,2025-11-15,2025-02-13,GENERICO GENERICO
Habs y Salas,19634,Perdido,2025-09-22,2025-09-23,2025-02-13,GENERICO GENERICO
Salas,19646,Perdido,2025-05-28,2025-05-28,2025-02-13,GENERICO GENERICO
Habs y Salas,19650,Perdido,2025-09-19,2025-09-21,2025-02-13,GENERICO GENERICO
Habs y Salas,19674,Cancelado,2025-03-26,2025-03-28,2025-02-14,"GENERICO, AGENCIAS"
Habs y Salas,19676,Cancelado,2025-04-30,2025-05-02,2025-02-14,"GENERICO, AGENCIAS"
Habs y Salas,19740,Rechazado,2025-09-07,2025-09-15,2025-02-17,GENERICO GENERICO
Salas,19741,CONFIRMACIÓN,2025-06-11,2025-06-11,2025-02-17,cliente_032
Salas,19775,CONFIRMACIÓN,2025-03-26,2025-04-11,2025-02-18,cliente_033
Salas,19776,Perdido,2025-03-24,2025-03-24,2025-02-18,GENERICO GENERICO
Salas,19778,CONFIRMACIÓN,2025-02-25,2025-02-25,2025-02-18,cliente_018
Salas,19779,CONFIRMACIÓN,2025-02-25,2025-02-25,2025-02-18,cliente_018
Habs y Salas,19780,Rechazado,2025-04-03,2025-10-24,2025-02-18,GENERICO GENERICO
Habs y Salas,19994,CONFIRMACIÓN,2025-10-10,2025-10-22,2025-06-23,cliente_034
Salas,20079,Perdido,2025-04-04,2025-04-04,2025-02-24,GENERICO GENERICO
Salas,20080,Perdido,2025-04-03,2025-04-03,2025-02-24,GENERICO GENERICO
Salas,20114,CONFIRMACIÓN,2025-03-04,2025-03-04,2025-02-24,cliente_018
Salas,20115,CONFIRMACIÓN,2025-03-04,2025-03-04,2025-02-24,cliente_018
Salas,20116,CONFIRMACIÓN,2025-03-05,2025-03-05,2025-02-24,cliente_018
Salas,20117,CONFIRMACIÓN,2025-03-06,2025-03-06,2025-02-24,cliente_018
Salas,20173,CONFIRMACIÓN,2025-06-02,2025-06-12,2025-02-25,cliente_035
Salas,20230,Perdido,2025-03-06,2025-03-21,2025-02-26,GENERICO GENERICO
Salas,20233,Perdido,2025-04-04,2025-04-04,2025-02-26,GENERICO GENERICO
Salas,20317,Cancelado,2025-03-18,2025-03-20,2025-02-27,GENERICO GENERICO
Salas,20333,Perdido,2025-05-31,2025-05-31,2025-02-27,GENERICO GENERICO
Salas,20334,Perdido,2025-05-22,2025-05-22,2025-02-27,GENERICO GENERICO
Salas,20472,Cancelado,2025-03-04,2025-03-04,2025-03-03,GENERICO GENERICO
Salas,20473,Perdido,2025-09-23,2025-09-23,2025-03-03,GENERICO GENERICO
Salas,20474,Perdido,2025-04-06,2025-04-06,2025-03-03,GENERICO GENERICO
Salas,20495,Perdido,2025-05-04,2025-05-04,2025-03-03,GENERICO GENERICO
Habs y Salas,20542,Rechazado,2025-06-23,2025-06-25,2025-03-04,GENERICO GENERICO
Habs y Salas,20543,Rechazado,2025-06-25,2025-06-27,2025-03-04,GENERICO GENERICO
Habs y Salas,20648,CONFIRMACIÓN,2025-06-01,2025-06-05,2025-03-05,cliente_036
Salas,20653,Perdido,2025-05-27,2025-05-28,2025-03-05,GENERICO GENERICO
Salas,20698,Perdido,2025-05-22,2025-05-22,2025-03-06,GENERICO GENERICO
Habs y Salas,20699,CONFIRMACIÓN,2025-10-07,2025-10-13,2025-03-06,cliente_037
Habs y Salas,20704,Perdido,2025-06-26,2025-06-28,2025-03-07,GENERICO GENERICO
Habs y Salas,20705,Cancelado,2025-06-30,2025-07-02,2025-03-07,GENERICO GENERICO
Habs y Salas,20783,Perdido,2025-10-12,2025-10-16,2025-03-08,GENERICO GENERICO
Habs y Salas,20804,Rechazado,2025-04-24,2025-04-25,2025-03-10,GENERICO GENERICO
Salas,20815,Perdido,2025-06-07,2025-06-08,2025-03-10,GENERICO GENERICO
Salas,20816,CONFIRMACIÓN,2025-03-31,2025-04-01,2025-03-10,cliente_030
Habs y Salas,20844,CONFIRMACIÓN,2025-06-23,2025-06-27,2025-03-10,GENERICO GENERICO
Salas,20891,CONFIRMACIÓN,2025-04-03,2025-04-04,2025-03-11,cliente_030
Salas,20900,Perdido,2025-06-20,2025-06-20,2025-03-12,GENERICO GENERICO
Salas,20932,Perdido,2025-04-02,2025-04-02,2025-03-12,GENERICO GENERICO
Salas,20962,Cancelado,2025-06-29,2025-07-02,2025-03-12,cliente_038
Salas,21020,CONFIRMACIÓN,2025-03-20,2025-03-24,2025-03-14,cliente_039
Habs y Salas,21043,Perdido,2025-10-08,2025-10-10,2025-03-14,GENERICO GENERICO
Salas,21044,CONFIRMACIÓN,2025-04-09,2025-04-10,2025-03-14,cliente_030
Habs y Salas,21224,Perdido,2025-04-11,2025-04-18,2025-03-18,"GENERICO, AGENCIAS"
Habs y Salas,21281,Perdido,2025-04-07,2025-04-11,2025-03-18,"GENERICO, AGENCIAS"
Salas,21322,CONFIRMACIÓN,2025-05-09,2025-05-09,2025-03-19,cliente_040
Habs y Salas,21337,Perdido,2025-08-24,2025-08-26,2025-03-19,"GENERICO, AGENCIAS"
Habs y Salas,21358,Perdido,2025-08-26,2025-08-29,2025-03-20,GENERICO GENERICO
Habs y Salas,21360,Perdido,2025-10-23,2025-10-26,2025-03-20,GENERICO GENERICO
Salas,21431,Perdido,2025-04-24,2025-05-21,2025-03-20,GENERICO GENERICO
Salas,21433,Perdido,2025-05-16,2025-05-16,2025-03-20,GENERICO GENERICO
Habs y Salas,21496,Perdido,2025-10-10,2025-10-12,2025-03-21,GENERICO GENERICO
Salas,21509,Perdido,2025-05-06,2025-05-06,2025-03-23,GENERICO GENERICO
Habs y Salas,21550,Perdido,2025-09-02,2025-09-05,2025-03-24,GENERICO GENERICO
Habs y Salas,21557,Rechazado,2025-04-28,2025-04-30,2025-03-24,"GENERICO, EMPRESAS"
Salas,21563,CONFIRMACIÓN,2025-03-24,2025-03-24,2025-03-24,cliente_041
Habs y Salas,21564,CONFIRMACIÓN,2025-05-20,2025-05-23,2025-03-24,GENERICO GENERICO
Salas,21565,Perdido,2025-09-01,2025-09-01,2025-03-24,GENERICO GENERICO
Salas,21567,Perdido,2025-04-03,2025-04-03,2025-03-24,GENERICO GENERICO
Salas,21575,CONFIRMACIÓN,2025-03-26,2025-03-26,2025-03-25,cliente_042
Salas,21661,Perdido,2025-04-21,2025-04-21,2025-03-25,GENERICO GENERICO
Habs y Salas,21663,CONFIRMACIÓN,2025-03-31,2025-04-03,2025-03-25,cliente_030
Salas,21705,Perdido,2025-04-07,2025-04-07,2025-03-26,GENERICO GENERICO
Salas,21737,CONFIRMACIÓN,2025-04-03,2025-04-03,2025-03-26,cliente_018
Salas,21742,Perdido,2025-11-15,2025-11-15,2025-03-27,GENERICO GENERICO
Habs y Salas,21882,CONFIRMACIÓN,2025-07-08,2025-07-12,2025-03-31,cliente_007
Habs y Salas,21891,CONFIRMACIÓN,2025-04-16,2025-04-23,2025-03-31,"GENERICO, EMPRESAS"
Salas,21922,Perdido,2025-12-19,2025-12-19,2025-04-01,GENERICO GENERICO
Salas,21923,Perdido,2025-04-28,2025-11-28,2025-04-01,"GENERICO, EMPRESAS"
Salas,21936,Perdido,2025-05-07,2025-05-07,2025-04-01,"GENERICO, AGENCIAS"
Habs y Salas,21956,Perdido,2025-04-15,2025-04-17,2025-04-02,GENERICO GENERICO
Salas,21957,CONFIRMACIÓN,2025-04-24,2025-04-25,2025-04-02,cliente_030
Salas,21963,Perdido,2025-09-01,2025-09-01,2025-04-02,GENERICO GENERICO
