,dia,precio,pct_ocupacion
305,2025-11-02,110,76.61
306,2025-11-03,140,88.71
307,2025-11-04,160,91.94
308,2025-11-05,210,97.58
309,2025-11-06,150,91.13
310,2025-11-07,180,96.77
311,2025-11-08,260,100.0
312,2025-11-09,130,87.1
313,2025-11-10,130,88.71
314,2025-11-11,160,95.16
315,2025-11-12,150,87.9
316,2025-11-13,230,100.0
317,2025-11-14,160,94.35
318,2025-11-15,140,83.87
319,2025-11-16,110,77.42
320,2025-11-17,160,95.97
321,2025-11-18,280,100.0
322,2025-11-19,260,100.0
323,2025-11-20,130,69.35
324,2025-11-21,120,100.0
325,2025-11-22,170,94.35
326,2025-11-23,90,54.03
327,2025-11-24,110,78.23
328,2025-11-25,160,100.0
329,2025-11-26,160,93.55
330,2025-11-27,110,84.68
331,2025-11-28,140,94.35
332,2025-11-29,120,87.1
333,2025-11-30,90,33.06
334,2025-12-01,100,70.16
335,2025-12-02,200,98.39
336,2025-12-03,200,94.35
337,2025-12-04,120,88.71
338,2025-12-05,100,79.03
339,2025-12-06,150,98.39
340,2025-12-07,90,75.0
341,2025-12-08,90,61.29
342,2025-12-09,90,50.81
343,2025-12-10,90,62.9
344,2025-12-11,90,75.0
345,2025-12-12,100,73.39
346,2025-12-13,110,64.52
347,2025-12-14,80,37.9
348,2025-12-15,90,49.19
349,2025-12-16,90,47.58
350,2025-12-17,110,68.55
351,2025-12-18,125,69.35
352,2025-12-19,100,35.48
353,2025-12-20,90,46.77
354,2025-12-21,80,41.94
355,2025-12-22,100,60.48
356,2025-12-23,115,56.45
357,2025-12-24,115,67.74
358,2025-12-25,115,62.9
359,2025-12-26,110,66.13
360,2025-12-27,130,89.52
361,2025-12-28,110,77.42
362,2025-12-29,130,89.52
363,2025-12-30,130,84.68
364,2025-12-31,180,99.19
